ano;REGIAO;uf;tipo_combustivel;id_municipio;municipio;volume_vendas_m3;_ARQUIVO_ORIGEM
1990;REGIÃO NORTE;13;DIESEL;1303007;NHAMUNDA;999502.0;DIESEL
1990;REGIÃO NORTE;13;DIESEL;1303106;NOVA OLINDA DO NORTE;1106303.0;DIESEL
1990;REGIÃO NORTE;13;DIESEL;1303205;NOVO AIRAO;15000.0;DIESEL
1990;REGIÃO NORTE;13;DIESEL;1303304;NOVO ARIPUANA;2505341.0;DIESEL
1990;REGIÃO NORTE;13;DIESEL;1303403;PARINTINS;10994165.0;DIESEL
1990;REGIÃO NORTE;13;DIESEL;1303502;PAUINI;1036673.0;DIESEL
1990;REGIÃO NORTE;13;DIESEL;1303536;PRESIDENTE FIGUEIREDO;21356333.0;DIESEL
1990;REGIÃO NORTE;13;DIESEL;1303569;RIO PRETO DA EVA;258466.0;DIESEL
1990;REGIÃO NORTE;13;DIESEL;1303809;SAO GABRIEL DA CACHOEI;2604054.0;DIESEL
1990;REGIÃO NORTE;13;DIESEL;1304062;TABATINGA;60000.0;DIESEL
1990;REGIÃO NORTE;13;DIESEL;1304104;TAPAUA;599877.0;DIESEL
1990;REGIÃO NORTE;13;DIESEL;1304203;TEFE;5773655.0;DIESEL
1990;REGIÃO NORTE;13;DIESEL;1304302;URUCARA;1962353.0;DIESEL
1990;REGIÃO NORTE;13;DIESEL;1304401;URUCURITUBA;601164.0;DIESEL
1990;REGIÃO NORTE;14;DIESEL;1400050;ALTO ALEGRE;1014579.0;DIESEL
1990;REGIÃO NORTE;14;DIESEL;1400100;BOA VISTA;73060899.0;DIESEL
1990;REGIÃO NORTE;14;DIESEL;1400506;SAO JOAO DA BALIZA;710471.0;DIESEL
1990;REGIÃO NORTE;14;DIESEL;1400209;CARACARAI;4475705.0;DIESEL
1990;REGIÃO NORTE;14;DIESEL;1400308;MUCAJAI;1479237.0;DIESEL
1990;REGIÃO NORTE;14;DIESEL;1400407;NORMANDIA;402786.0;DIESEL
1990;REGIÃO NORTE;14;DIESEL;1400605;SAO LUIZ;450678.0;DIESEL
1990;REGIÃO NORTE;14;DIESEL;1400159;BONFIM;751263.0;DIESEL
1990;REGIÃO NORTE;15;DIESEL;1500107;ABAETETUBA;4389418.0;DIESEL
1990;REGIÃO NORTE;15;DIESEL;1500206;ACARA;6030041.0;DIESEL
1990;REGIÃO NORTE;15;DIESEL;1500305;AFUA;1505031.0;DIESEL
1990;REGIÃO NORTE;15;DIESEL;1500404;ALENQUER;3694142.0;DIESEL
