ANO;REGIAO;UF;COMBUSTIVEL;ID_MUNICIPIO;MUNICIPIO;VOLUME_VENDAS_M3;_ARQUIVO_ORIGEM
1990;REGIÃO NORTE;15;ETANOL;1503077;GARRAFAO DO NORTE;4200;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1503200;IGARAPE-ACU;340189;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1503309;IGARAPE-MIRI;115000;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1503507;IRITUIA;808910;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1503606;ITAITUBA;4902645;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1503705;ITUPIRANGA;202913;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1503804;JACUNDA;681627;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1504208;MARABA;6778457;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1504307;MARACANA;52250;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1504406;MARAPANIM;60469;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1504703;MOJU;574234;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1504802;MONTE ALEGRE;136558;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1505007;NOVA TIMBOTEUA;478458;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1505106;OBIDOS;114704;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1505304;ORIXIMINA;1087212;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1505403;OUREM;464950;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1505437;OURILANDIA DO NORTE;77407;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1505486;PACAJA;102368;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1505502;PARAGOMINAS;3410347;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1505536;PARAUAPEBAS;1670360;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1505809;PORTEL;32882;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1506005;PRAINHA;307859;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1506104;PRIMAVERA;357612;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1506138;REDENCAO;3423725;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1506161;RIO MARIA;482480;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1506187;RONDON DO PARA;615757;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1506195;RUROPOLIS;35252;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1506203;SALINOPOLIS;2043120;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1506302;SALVATERRA;9907;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1506500;SANTA ISABEL DO PARA;1382063;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1506583;SANTA MARIA DAS BARREI;6683;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1506609;SANTA MARIA DO PARA;426353;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1506708;SANTANA DO ARAGUAIA;849625;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1506807;SANTAREM;7372058;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1507003;SANTO ANTONIO DO TAUA;114608;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1507201;SAO DOMINGOS DO CAPIM;556123;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1507300;SAO FELIX DO XINGU;1454225;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1507409;SAO FRANCISCO DO PARA;327450;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1507508;SAO JOAO DO ARAGUAIA;291172;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1507607;SAO MIGUEL DO GUAMA;802818;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1507805;SENADOR JOSE PORFIRIO;350;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1507904;SOURE;19842;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1507953;TAILANDIA;205000;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1508001;TOME-ACU;691166;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1508100;TUCURUI;3649035;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1508084;TUCUMA;293477;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1508209;VIGIA;205322;ETANOL
1990;REGIÃO NORTE;15;ETANOL;1508308;VISEU;519708;ETANOL
