ano;REGIAO;uf;tipo_combustivel;id_municipio;municipio;volume_vendas_m3;_ARQUIVO_ORIGEM
1993;REGIÃO SUDESTE;;ÓLEO DIESEL;3650570;*;10000.0;DIESEL
1999;REGIÃO NORDESTE;;ÓLEO DIESEL;2000008;*;25200.0;DIESEL
