ano;REGIAO;uf;tipo_combustivel;id_municipio;municipio;volume_vendas_m3;_ARQUIVO_ORIGEM
1994;REGIÃO CENTRO-OESTE;;GASOLINA C;5774802;*;63500;GASOLINA
1998;REGIÃO NORDESTE;;GASOLINA C;2000008;*;10000;GASOLINA
1999;REGIÃO NORDESTE;;GASOLINA C;2000008;*;25100;GASOLINA
