nome_municipio;id_municipio;dist_base_atendimento_km;score_final_medio
Abadia dos Dourados;3100104;364.30879379493166;0.24202845931186756
Alpinópolis;3101904;163.0880540319814;0.37339470842456585
Andradas;3102605;236.2891390381016;0.31158000339714603
Araújos;3103900;91.33122550506582;0.5111855878795158
Areado;3104304;154.73617091248528;0.3804135225256384
Barão de Cocais;3105400;75.8719756185711;0.5370873746747147
Bom Jardim de Minas;3107505;153.9849299685641;0.3792410455813601
Buenópolis;3109204;232.6771707123338;0.3065156887580083
Buritizeiro;3109402;300.10853779573847;0.2712945379085845
Cambuquira;3110707;137.09404828300714;0.40241203483794796
Campos Altos;3111507;179.41595852864742;0.3541155950321093
Cana Verde;3111903;51.35042951069457;0.5929874287710751
Capim Branco;3112505;47.246449248269826;0.6096627039581256
Carmo do Rio Claro;3114402;137.0980296804574;0.40852180972611035
Carrancas;3114600;90.07673563347464;0.4867864518113811
Casa Grande;3114907;93.62471749157712;0.47518076630891215
Cataguases;3115300;223.25265866308402;0.3218196835476356
Cedro do Abaeté;3115607;182.77357334770028;0.34420618173163553
Central de Minas;3115706;331.1447422295208;0.2511268729170628
Cipotânea;3116308;135.83065638782912;0.3974998621852858
Claro dos Poções;3116506;320.77561096765334;0.25379517915522637
Comercinho;3117009;480.8412415247502;0.1990654485843195
Conselheiro Pena;3118403;298.85196499658565;0.2676155968598611
Coronel Pacheco;3119609;190.8946571559531;0.33944369283767273
Cristina;3120508;173.9015947633689;0.3599641739405202
Cruzeiro da Fortaleza;3120706;273.8728512539482;0.2851701512793763
Cuparaque;3120839;343.7775128884326;0.24393220961729517
Córrego Fundo;3119955;81.21477630078823;0.5241898035435634
Desterro do Melo;3121506;144.88944331263332;0.38614392449728796
Divino;3122009;226.25970712649107;0.3099415036155521
Divisa Nova;3122405;167.5617183288638;0.36233878936110525
Elói Mendes;3123601;127.05421442749743;0.42331596181999814
Engenheiro Caldas;3123700;240.62459820566056;0.3054078307730313
Estrela do Indaiá;3124708;165.03612685903167;0.37019637545000933
Felisburgo;3125606;518.7763068626368;0.19195255346348866
Ferros;3125903;148.16861708514816;0.38375392688657894
Fronteira dos Vales;3127057;486.4049188774695;0.19681475368495555
Funilândia;3127206;68.37997232291907;0.5382017857907541
Gonçalves;3127404;242.0144193975882;0.2999879057437947
Governador Valadares;3127701;265.9749092694153;0.3039976774505615
Ibiracatu;3129657;478.8523117313414;0.19852421183837976
Ijaci;3130408;53.78345644758374;0.6158777709497992
Itaobim;3133303;474.28427677863937;0.2224332368385424
Itaú de Minas;3133758;200.09896759736384;0.3491409047040697
Itumirim;3134301;68.9658399396767;0.5341176080962751
Janaúba;3135100;472.5066491370444;0.2149128177853392
Januária;3135209;499.1859635603584;0.20224707981222004
Japaraíba;3135308;93.3049126492131;0.4756947040803656
Joanésia;3136108;182.3840203215224;0.35479464100546027
Lambari;3137809;151.05458927000217;0.3865870757280555
Laranjal;3138005;238.11621933857805;0.29800875106444996
Leme do Prado;3138351;358.2384575494202;0.23889727669730768
Martinho Campos;3140506;130.09543175897215;0.4205926371890518
Materlândia;3140605;205.1931615421477;0.3208117122074609
Medeiros;3141306;165.03705867907587;0.37155392250402663
Mercês;3141603;163.94266684936616;0.36629090862190566
Mirabela;3142007;412.64443299206704;0.2199493571726491
Moema;3142403;113.31799096922867;0.4439076711493053
Morro da Garça;3143609;164.5937505394356;0.37295471673922287
Natalândia;3144375;454.66069688410414;0.21143004064543702
Nova União;3136603;71.69423608318716;0.5342175361054334
Novorizonte;3145372;478.58886723709315;0.20287315088651334
Olaria;3145406;158.90843669435904;0.21788109646277048
Ouro Fino;3146008;237.33175920277117;0.3108447223595036
Ouro Verde de Minas;3146206;372.94372349759146;0.2299462674505833
Palma;3146701;251.21766884736178;0.29021173303260894
Pimenta;3150505;104.37076272943933;0.4612923213016002
Pratinha;3153004;193.4273735650892;0.34190971868324893
Presidente Kubitschek;3153301;164.11491199791914;0.36058075341352464
Raul Soares;3154002;183.53004765971403;0.34670163395217707
Riachinho;3154457;456.8772165769704;0.2088598434993045
Rio Doce;3155009;139.26459472904386;0.3986393409751581
Rio Espera;3155207;124.58321766877685;0.41317287151620863
Rio Manso;3155306;35.12872834195528;0.6711486146759149
Rio Paranaíba;3155504;224.03370406757924;0.3271552895433957
Santa Helena de Minas;3157658;499.4024609195159;0.19477661701903443
Santa Rosa da Serra;3159704;176.57108351375499;0.35252131421636107
Santana do Garambéu;3158706;125.11839930765132;0.4145166660385726
Santana dos Montes;3159100;105.33042809156103;0.44863521309428367
Santo Antônio do Itambé;3160207;192.2827376537223;0.3317751911851552
Senador Modestino Gonçalves;3165909;247.31464339007488;0.29042018775212913
Senhora do Porto;3166105;167.7131436778453;0.3515443714658484
Senhora dos Remédios;3166204;134.95189717362388;0.3991506874435234
Seritinga;3166402;138.91172018177377;0.40171611854638506
Serranos;3167004;136.05441493372996;0.3984916896591688
Setubinha;3165552;339.78829002582273;0.24088105039322272
São Domingos do Prata;3161007;129.03812019554655;0.41626669635216806
São Francisco de Paula;3161205;16.11287013002117;0.7640693426123498
São Francisco de Sales;3161304;523.9474353444397;0.1974137820283098
São Geraldo do Baixio;3161650;319.9294434608254;0.25185843854580603
São João da Ponte;3162401;449.64902708155523;0.21071157898608595
São Sebastião da Bela Vista;3164407;188.5145211751817;0.41516500212016894
São Sebastião do Anta;3164472;237.49264204992798;0.2979722256776335
Taiobeiras;3168002;507.17765763787213;0.2014393522929129
Tiros;3168903;213.4834672834111;0.32931145947279267
Tocos do Moji;3169059;227.4885817138398;0.3055222604710892
Turvolândia;3169802;164.01935336746047;0.36680643036769633
Uberlândia;3170206;411.45720662008;0.2853781548107097
Vermelho Novo;3171154;202.03369234415953;0.3222197242758979
Virginópolis;3171808;202.78135418178712;0.33024467152103876
