id_municipio;cresc_linear_vol_vendido;cagr_vol_vendido_3a;cagr_vol_vendido_9a;cresc_linear_frota;cagr_frota_3a;cagr_frota_9a;base_atendimento;dist_base_atendimento_km;dist_referencia_km;score_final_medio
3100104;24516.503571428497;0.03852497356677298;-0.009719102624638709;159.16363636363963;0.02768769044411523;0.03969303958732584;3145604;364.30879379493166;93.09462065238024;0.24202845931186756
3101102;242579.11071428575;-0.07737125805488332;0.008628521980907022;269.82424242424787;0.014974787461185635;0.025864946682840895;3106705;331.27609491301973;93.09462065238024;0.25944538935911265
3102852;52119.64285714252;0.07425395656259504;0.017538088664838858;189.50303030303436;0.06902439085596668;0.06804978155914632;3106705;321.7251018757744;93.09462065238024;0.25167893823738025
3103108;-2967.857142857149;0.06351348392719736;0.015141718947758509;22.072727272727732;0.00839149040913667;0.0347701449876372;3106705;247.13550961737943;93.09462065238024;0.290970817443197
3104007;-1303174.5571428714;0.04070741956550772;-0.01867480963061008;2079.018181818226;0.031091949979056954;0.029893496473152315;3145604;252.81608023315195;93.09462065238024;0.3265298348906229
3104106;555154.8571428562;0.2565994479149458;0.12126746127056065;166.99393939394307;0.04181804514905907;0.03484133179423532;3145604;231.09887942711293;93.09462065238024;0.31967378152552467
3105707;62376.24285714283;-0.010576160936812795;0.05546638805743309;97.16969696969699;0.06443094866194898;0.04727829648804871;3106705;126.29105933128855;93.09462065238024;0.4151933829393487
3105905;-392227.92857142776;-3.681414194711685e-06;-0.015433088595433797;324.745454545455;0.02950878059688744;0.031977968453226646;3145604;104.49664071027254;93.09462065238024;0.4663881217660079
3106655;47138.39642857106;0.06265856918261115;0.04688846148264636;75.16969696969697;0.054198946422640004;0.04882265473328262;3106705;549.8728667438925;93.09462065238024;0.1865393003485761
3107901;122735.16428571397;0.07329844634409399;0.04299969622177713;389.10909090909087;0.04535172921413033;0.05610606454363931;3145604;239.1461688504569;93.09462065238024;0.29865663583658963
3108008;81982.67857142808;0.05619133464954307;0.02126815081901423;266.30909090909086;0.034761101655512716;0.03761862117132497;3145604;38.030427658262575;93.09462065238024;0.6526235193241335
