ANO;UF;ID_MUNICIPIO;COMBUSTIVEL;VOLUME_VENDAS_M3
2010;31;3104205;GASOLINA;8385683.0
2010;31;3104304;DIESEL;2218500.0
2010;31;3104304;ETANOL;973000.0
2010;31;3104304;GASOLINA;2604000.0
2010;31;3104403;DIESEL;275000.0
2010;31;3104403;ETANOL;39000.0
2010;31;3104403;GASOLINA;226000.0
2010;31;3104452;DIESEL;120000.0
2010;31;3104452;ETANOL;20000.0
2010;31;3104452;GASOLINA;265000.0
2010;31;3104502;DIESEL;3023000.0
2010;31;3104502;ETANOL;405000.0
2010;31;3104502;GASOLINA;1999000.0
2010;31;3104601;DIESEL;1279000.0
2010;31;3104601;ETANOL;262000.0
2010;31;3104601;GASOLINA;1836000.0
2010;31;3104700;DIESEL;658000.0
2010;31;3104700;ETANOL;120000.0
2010;31;3104700;GASOLINA;747000.0
2010;31;3104809;DIESEL;865000.0
2010;31;3104809;ETANOL;185000.0
2010;31;3104809;GASOLINA;570000.0
2010;31;3104908;DIESEL;1275000.0
2010;31;3104908;ETANOL;349000.0
2010;31;3104908;GASOLINA;2272000.0
2010;31;3105004;DIESEL;1399000.0
2010;31;3105004;ETANOL;169500.0
2010;31;3105004;GASOLINA;998500.0
2010;31;3105103;DIESEL;8058000.0
2010;31;3105103;ETANOL;1045000.0
2010;31;3105103;GASOLINA;4267500.0
2010;31;3105202;DIESEL;112000.0
2010;31;3105202;ETANOL;12000.0
2010;31;3105202;GASOLINA;178000.0
2010;31;3105301;DIESEL;1686090.0
2010;31;3105301;ETANOL;297000.0
2010;31;3105301;GASOLINA;964090.0
2010;31;3105400;DIESEL;13438500.0
2010;31;3105400;ETANOL;589500.0
2010;31;3105400;GASOLINA;4032000.0
2010;31;3105509;DIESEL;115000.0
2010;31;3105509;ETANOL;30000.0
2010;31;3105509;GASOLINA;165000.0
2010;31;3105608;DIESEL;13253998.0
2010;31;3105608;ETANOL;3509500.0
2010;31;3105608;GASOLINA;24168000.0
2010;31;3105707;DIESEL;262000.0
2010;31;3105707;ETANOL;67000.0
2010;31;3105707;GASOLINA;397000.0
2010;31;3105905;DIESEL;12050000.0
2010;31;3105905;ETANOL;475000.0
2010;31;3105905;GASOLINA;2750000.0
2010;31;3106002;DIESEL;6633000.0
2010;31;3106002;ETANOL;288500.0
2010;31;3106002;GASOLINA;1288000.0
2010;31;3106101;DIESEL;290000.0
2010;31;3106101;ETANOL;41000.0
2010;31;3106101;GASOLINA;197000.0
2010;31;3106200;DIESEL;287301303.0
2010;31;3106200;ETANOL;172728615.0
2010;31;3106200;GASOLINA;723389258.0
2010;31;3106309;DIESEL;22100000.0
2010;31;3106309;ETANOL;749500.0
2010;31;3106309;GASOLINA;2908000.0
2010;31;3106408;DIESEL;1075000.0
2010;31;3106408;ETANOL;85000.0
2010;31;3106408;GASOLINA;825000.0
2010;31;3106507;DIESEL;558500.0
2010;31;3106507;GASOLINA;859500.0
2010;31;3106606;DIESEL;196000.0
2010;31;3106606;ETANOL;37000.0
2010;31;3106606;GASOLINA;227000.0
2010;31;3106655;DIESEL;248000.0
2010;31;3106655;ETANOL;30000.0
2010;31;3106655;GASOLINA;311000.0
2010;31;3106705;DIESEL;439268630.0
2010;31;3106705;ETANOL;16024001.0
2010;31;3106705;GASOLINA;69924500.0
2010;31;3106804;DIESEL;166500.0
2010;31;3106804;ETANOL;45000.0
2010;31;3106804;GASOLINA;310000.0
2010;31;3106903;DIESEL;1686000.0
2010;31;3106903;ETANOL;766000.0
2010;31;3106903;GASOLINA;4651000.0
2010;31;3107000;DIESEL;410000.0
2010;31;3107000;ETANOL;55000.0
2010;31;3107000;GASOLINA;435000.0
2010;31;3107109;DIESEL;4995500.0
2010;31;3107109;ETANOL;1659000.0
2010;31;3107109;GASOLINA;6689500.0
2010;31;3107208;DIESEL;230000.0
2010;31;3107208;ETANOL;57000.0
2010;31;3107208;GASOLINA;420000.0
2010;31;3107307;DIESEL;7569000.0
2010;31;3107307;ETANOL;940000.0
2010;31;3107307;GASOLINA;5618000.0
2010;31;3107406;DIESEL;33775600.0
2010;31;3107406;ETANOL;1897000.0
2010;31;3107406;GASOLINA;10602000.0
2010;31;3107505;DIESEL;894000.0
2010;31;3107505;ETANOL;297000.0
2010;31;3107505;GASOLINA;689000.0
2010;31;3107604;DIESEL;809200.0
2010;31;3107604;ETANOL;173050.0
2010;31;3107604;GASOLINA;629750.0
2010;31;3107703;DIESEL;10337500.0
2010;31;3107703;ETANOL;523000.0
2010;31;3107703;GASOLINA;2155000.0
