ano;id_municipio;pib;pib_per_capita;vab_total;vab_agropecuaria;vab_industria;vab_servicos;vab_adm_publica;atividade_1;atividade_2;atividade_3
2015;4109757;126719.02;19949.47;116576.485;31525.627;22575.098;36253.47;26222.29;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL;DEMAIS SERVIÇOS;INDÚSTRIAS DE TRANSFORMAÇÃO
2015;4109807;2603871.037;49758.67;2229746.662;58255.297;469072.563;1494578.721;207840.082;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;DEMAIS SERVIÇOS;INDÚSTRIAS DE TRANSFORMAÇÃO
2015;4109906;178109.576;20612.15;166828.153;48958.614;21661.407;63493.196;32714.936;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL;AGRICULTURA, INCLUSIVE APOIO À AGRICULTURA E A PÓS COLHEITA
2015;4110003;135914.09;31792.77;125639.601;42298.057;9151.209;52660.489;21529.846;DEMAIS SERVIÇOS;AGRICULTURA, INCLUSIVE APOIO À AGRICULTURA E A PÓS COLHEITA;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL
2015;4110052;58333.176;25340.22;55765.123;27697.261;2452.375;13795.677;11819.81;AGRICULTURA, INCLUSIVE APOIO À AGRICULTURA E A PÓS COLHEITA;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL;DEMAIS SERVIÇOS
2015;4110078;177065.518;14279.48;162443.599;19868.438;24419.774;73039.45;45115.938;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
2015;4110102;692737.29;22306.79;643757.244;195895.68;127498.472;210286.977;110076.114;AGRICULTURA, INCLUSIVE APOIO À AGRICULTURA E A PÓS COLHEITA;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL
2015;4110201;143757.295;12714.01;135613.739;44852.193;10462.757;37373.364;42925.424;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL;PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA;DEMAIS SERVIÇOS
2015;4110300;40829.518;13090.58;39243.203;13113.572;2966.112;9377.064;13786.455;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL;AGRICULTURA, INCLUSIVE APOIO À AGRICULTURA E A PÓS COLHEITA;DEMAIS SERVIÇOS
2015;4110409;387372.827;86447.85;361914.061;18985.836;236953.419;85819.525;20155.282;INDÚSTRIAS DE TRANSFORMAÇÃO;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL
2015;4110508;386694.217;25817.48;366252.427;181965.801;25667.761;98506.916;60111.949;AGRICULTURA, INCLUSIVE APOIO À AGRICULTURA E A PÓS COLHEITA;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL
2015;4110607;332214.22;22315.73;311669.58;66077.838;70229.416;122117.118;53245.208;DEMAIS SERVIÇOS;INDÚSTRIAS DE TRANSFORMAÇÃO;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL
2015;4110656;65651.904;26135.31;61631.733;26177.288;2655.991;20267.326;12531.128;AGRICULTURA, INCLUSIVE APOIO À AGRICULTURA E A PÓS COLHEITA;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL
2015;4110706;1482282.637;24825.53;1325329.135;232016.099;226554.832;655835.692;210922.512;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL;AGRICULTURA, INCLUSIVE APOIO À AGRICULTURA E A PÓS COLHEITA
2015;4110805;211577.716;19793.97;197431.098;64928.962;8397.249;83663.592;40441.295;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL;AGRICULTURA, INCLUSIVE APOIO À AGRICULTURA E A PÓS COLHEITA
2015;4110904;79622.429;17163.71;75735.769;29647.006;3319.545;22732.548;20036.67;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL;DEMAIS SERVIÇOS;AGRICULTURA, INCLUSIVE APOIO À AGRICULTURA E A PÓS COLHEITA
2015;4110953;300804.611;29386.93;279012.459;58019.27;76998.002;96240.0;47755.186;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL;INDÚSTRIAS DE TRANSFORMAÇÃO
2015;4111001;120607.171;17601.75;113371.813;38243.088;9821.831;38894.149;26412.745;AGRICULTURA, INCLUSIVE APOIO À AGRICULTURA E A PÓS COLHEITA;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL
2015;4111100;155558.279;25122.46;145569.693;49531.903;7313.225;63265.248;25459.318;AGRICULTURA, INCLUSIVE APOIO À AGRICULTURA E A PÓS COLHEITA;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL
2015;4111209;381875.424;33339.92;346546.998;69429.063;100420.81;135229.048;41468.077;DEMAIS SERVIÇOS;INDÚSTRIAS DE TRANSFORMAÇÃO;AGRICULTURA, INCLUSIVE APOIO À AGRICULTURA E A PÓS COLHEITA
2015;4111258;411117.798;15366.02;377285.937;17952.43;91088.008;179644.712;88600.787;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
2015;4111308;66012.478;19711.1;60664.994;11007.522;4186.525;30415.288;15055.659;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
